package,category,source,name,find_n3,phone,tab
tech.pingx.watchface,smart_band,bandbbs,,1,0,0
com.mi.health,smart_band,cn,,1,1,0
org.kde.kdeconnect_tp,smart_connect,droidify,KDE Connect,1,1,1
org.localsend.localsend_app,smart_connect,droidify,LocalSend,1,1,1
com.github.catfriend1.syncthingfork,smart_connect,droidify,Syncthing-Fork,1,1,1
io.appground.blekpremium,smart_connect,play,Bluetooth Keyboard & Mouse Pro,1,1,1
com.xiaoji.xtouch.google,smart_connect,play,GameSir,1,0,0
com.narwel.narwelrobots,smart_home,cn,,1,1,1
com.picooc,smart_home,cn,,1,1,0
com.xiaomi.smarthome,smart_home,cn,,1,1,0
com.coolapk.market,social,cn,,1,1,1
com.ss.android.ugc.aweme,social,cn,,1,1,0
com.sspai.sspaiandroid,social,cn,,1,1,1
com.tencent.mm,social,cn,,1,1,0
com.tencent.mobileqq,social,cn,,1,1,0
com.github.zly2006.zhplus,social,obtainium,Zhihu++,1,1,1
com.gsmarena.android,social,play,GSMArena,1,1,1
com.instagram.android,social,play,Instagram,1,1,0
com.xingin.xhs,social,play,rednote,1,1,0
org.telegram.messenger,social,play,Telegram,1,1,0
com.twitter.android,social,play,X,1,1,0
in.hridayan.ashell,terminal,droidify,aShell You,1,1,1
com.termux,terminal,droidify,Termux,1,1,1
com.termux.api,terminal,droidify,Termux:API,1,1,1
com.chebada,travel,cn,,1,1,0
com.MobileTicket,travel,cn,,1,1,0
com.njusoft.taizhoutrip,travel,cn,,1,0,0
com.rytong.ceair,travel,cn,,1,0,0
com.umetrip.android.msky.app,travel,cn,,1,1,0
com.autonavi.minimap,travel,play,AMap Global,1,1,0
com.sdu.didi.psnger,travel,play,DiDi China: Ride Hailing,1,1,0
com.iflyrec.tjapp,utility,cn,,1,0,0
com.buzbuz.smartautoclicker,utility,droidify,Klick'r - Smart AutoClicker,1,1,0
com.wchung.qrshare,utility,droidify,QRshare,1,1,1
moe.shizuku.privileged.api,utility,droidify,Shizuku,1,1,1
jp.ddo.hotmist.unicodepad,utility,droidify,UnicodePad,1,1,1
com.wirelessalien.zipxtract,utility,droidify,ZipXtract,1,1,1
com.github.axet.audiorecorder,utility,obtainium,Audio Recorder,1,1,1
app.revanced.android.gms,utility,obtainium,microG Services,1,1,1
com.finalwire.aida64,utility,play,AIDA64,1,0,0
com.paragon.tcplugins_ntfs_ro,utility,play,exFAT/NTFS for USB by Paragon,1,1,1
pl.solidexplorer2,utility,play,Solid Explorer File Manager,1,0,0
com.google.android.tts,utility,play,Speech Recognition & Synthesis,1,1,1
com.lonelycatgames.Xplore,utility,play,X-plore File Manager,1,1,1
org.xbmc.kodi,video,droidify,Kodi,1,1,0
InfinityLoop1309.NewPipeEnhanced,video,droidify,PipePipe,1,1,1
org.videolan.vlc,video,droidify,VLC,1,1,1
com.example.piliplus,video,obtainium,PiliPlus,1,1,1
app.morphe.android.youtube,video,obtainium,YouTube Morphe,1,1,1
com.wondershare.filmorago,video,play,Filmora: AI Video Editor&Maker,1,0,0
tv.twitch.android.app,video,play,Twitch: Live Streaming,1,0,0
tv.danmaku.bili,video,play,哔哩哔哩-弹幕动画直播高清视频,1,0,0
